TIMESTAMP,IRT2001A2xx24,TDR2001A20624,TDR2001A21824,TDR2001A23024,Ta_2m_Avg,RH_2m_Avg,WndAveSpd_3m,WndAveDir_3m,PresAvg_1pnt5m,Solar_2m_Avg,Rain_1m_Tot,TaMax_2m,TaMin_2m,RHMax_2m,RHMin_2m,swsi,et,cwsi
2024-07-18 14:00:00,31.09145,24.4,15.15,11.541665,30.10533333333333,40.67100000000001,3.508433333333333,181.47,920.8072816666668,861.3666666666667,0.0,30.2775,29.916666666666668,41.23866666666667,40.16,0.4928405594405595,,
2024-07-18 15:00:00,31.522055,24.291665,15.15,11.525,30.70383333333333,39.89433333333333,3.6328833333333335,165.71,920.2955216666668,772.2516666666667,0.0,30.8785,30.514333333333333,40.3485,39.47583333333333,0.4978355644355646,,
2024-07-18 16:00:00,29.782775,24.208335,15.116665,11.508335,30.996,37.94683333333333,3.2146833333333333,157.095,919.8663616666666,630.2483333333333,0.0,31.168,30.81883333333333,38.34016666666666,37.56816666666667,0.5031634365634367,,0.5117558289776463
2024-07-18 17:00:00,28.80858,24.191665,15.091665,11.575,31.18533333333333,38.155,3.456533333333333,157.37833333333336,919.376805,518.3466666666667,0.0,31.3545,30.997,38.526833333333336,37.81633333333333,0.5021646353646351,,
2024-07-18 18:00:00,27.532975,24.16667,15.058335,11.55,30.860666666666667,39.38216666666666,3.2282,154.5366666666667,918.8851166666668,343.32166666666666,0.0,31.019166666666667,30.6965,39.65766666666666,39.12966666666667,0.5054943056943053,,
2024-07-18 19:00:00,26.15191,24.1,15.083335,11.575,29.4225,45.18683333333333,3.315166666666667,151.1266666666667,918.6639416666666,175.90666666666667,0.0,29.55883333333333,29.267666666666667,45.3785,44.98216666666666,0.5061604395604397,,
2024-07-18 20:00:00,24.25408,24.1,15.05,11.591665,27.368,52.452666666666666,2.8913,148.52833333333334,918.7556383333334,44.46891666666667,0.0,27.508166666666668,27.21966666666667,52.59316666666667,52.314,0.5068265734265732,,
2024-07-18 21:00:00,21.951305,24.1,15.06667,11.566665,25.149833333333333,57.518166666666666,2.51445,151.78833333333333,919.1459883333332,0.0,0.0,25.292666666666666,24.999333333333333,57.637166666666666,57.3985,0.5071594405594405,,
2024-07-18 22:00:00,20.808035,24.1,15.041665,11.566665,23.79416666666667,59.72866666666667,2.5723166666666666,154.17999999999998,919.412485,0.0,0.0,23.9425,23.643,59.851,59.61016666666667,0.5081586413586414,,
2024-07-18 23:00:00,20.116385,24.1,15.066665,11.6,22.801,62.74466666666667,3.3638,158.09,919.4923133333334,0.0,0.0,22.946666666666665,22.660666666666664,62.86683333333334,62.63,0.5058275724275724,,
2024-07-19 00:00:00,20.023485,24.091665,15.04167,11.55833,22.3025,64.02016666666667,4.020783333333333,162.84,919.1662566666668,0.0,0.0,22.441666666666663,22.1565,64.15316666666666,63.90783333333333,0.5088245754245757,1.2639302428726742,
2024-07-19 01:00:00,19.602415,24.041665,15.083335,11.591665,21.5695,67.41116666666667,4.019116666666666,165.78333333333333,918.99532,0.0,0.0,21.706833333333336,21.434833333333334,67.53366666666666,67.29683333333334,0.5078255744255742,,
2024-07-19 02:00:00,19.102625000000003,24.075000000000003,15.05833,11.575,20.92533333333333,70.71466666666667,4.017716666666667,171.6266666666667,918.5647166666666,0.0,0.0,21.0665,20.777833333333334,70.85566666666666,70.57966666666667,0.5081586413586414,,
2024-07-19 03:00:00,18.13718,24.0,15.11667,11.53333,20.07133333333333,75.28833333333334,2.2947333333333333,158.04666666666665,918.4417016666666,0.0,0.0,20.2085,19.920166666666667,75.43116666666667,75.14733333333334,0.5104895104895109,,
2024-07-19 04:00:00,17.274335,24.0,15.083335,11.541665,19.345666666666663,79.144,1.887133333333333,156.70166666666668,918.5114616666668,0.0,0.0,19.48933333333333,19.19,79.28366666666668,78.997,0.5114885114885117,,
2024-07-19 05:00:00,16.896034999999998,23.983335,15.125,11.54167,18.75895833333333,82.35208333333334,1.7677083333333334,161.6625,918.4988208333332,0.0,0.0,18.894791666666663,18.605416666666667,82.48958333333333,82.19791666666667,0.5104893106893108,,
2024-07-19 06:00:00,16.406415000000003,23.983335,15.1,11.525,,,,,,,,,,,,0.512154445554446,,
